,index,code,fund_manager,1/3/2025,1/10/2025,1/17/2025,1/24/2025,1/31/2025,2/7/2025,2/14/2025,2/21/2025
0,0,1,AA Kenya Shillings Fund,11.70%,11.70%,11.50%,11.20%,11.00%,10.60%,10.60%,10.90%
1,1,2,Absa Shilling Money Market Fund,12.70%,12.70%,14.30%,12.10%,11.90%,11.90%,11.90%,11.00%
2,2,3,Apollo Money Market Fund,13.10%,12.90%,11.60%,11.50%,11.30%,11.20%,11.30%,13.00%
3,3,4,Arvocap Money Market Fund,15.40%,15.10%,15.00%,10.80%,14.40%,14.40%,13.30%,13.20%
4,4,5,British-American Money Market Fund,13.00%,13.10%,13.00%,13.00%,12.80%,12.90%,13.00%,12.90%
5,5,6,CIC Money Market Fund,12.70%,12.70%,12.60%,12.60%,12.40%,12.20%,12.00%,11.80%
6,6,7,Co-op Money Market Fund,13.30%,13.30%,12.60%,12.60%,12.00%,11.90%,12.00%,12.00%
7,7,8,Cytonn Money Market Fund,16.80%,16.60%,16.60%,16.50%,16.40%,16.30%,16.30%,16.20%
8,8,9,Dry Associates Money Market Fund,13.90%,13.70%,13.00%,13.70%,13.70%,13.70%,13.40%,13.10%
9,9,10,Enwealth Money Market Fund,13.60%,12.90%,12.30%,12.00%,12.60%,12.60%,12.50%,12.70%
10,10,11,Equity Money Market Fund,8.70%,7.00%,7.00%,6.90%,6.90%,6.90%,6.80%,6.80%
11,11,12,Etica Money Market Fund,16.10%,15.90%,15.80%,15.30%,15.50%,15.30%,14.80%,15.00%
12,12,13,Faulu Money Market Fund,14.50%,13.60%,12.90%,12.80%,12.10%,11.20%,11.10%,12.10%
13,13,14,GenAfrica Money Market Fund,13.50%,12.80%,12.80%,13.10%,13.30%,13.60%,12.80%,12.70%
14,14,15,Genghis Money Market Fund,13.90%,13.00%,13.10%,13.00%,12.30%,13.60%,13.80%,13.70%
15,15,16,Gulfcap Money Market Fund,16.30%,16.30%,16.30%,16.30%,16.30%,16.30%,16.30%,16.30%
16,16,17,ICEA Lion Money Market Fund,12.90%,12.50%,12.50%,12.40%,12.40%,12.10%,11.90%,11.90%
17,17,18,Jubilee Money Market Fund,13.80%,12.90%,13.20%,13.20%,13.20%,12.40%,12.70%,12.70%
18,18,19,KCB Money Market Fund,13.30%,13.30%,12.50%,11.90%,11.60%,11.60%,11.00%,11.00%
19,19,20,Kuza Money Market fund,15.90%,15.40%,15.40%,15.30%,15.30%,15.00%,14.90%,14.80%
20,20,21,Lofty-Corban Money Market Fund,16.50%,16.30%,16.20%,15.70%,15.30%,15.20%,15.20%,14.00%
21,21,22,Madison Money Market Fund,14.00%,13.60%,14.00%,12.80%,14.00%,13.20%,12.60%,12.70%
22,22,23,Mali Money Market Fund,15.20%,15.20%,15.20%,15.20%,15.20%,15.20%,15.20%,15.20%
23,23,24,Mayfair Money Market Fund,12.30%,12.10%,12.10%,10.30%,9.40%,9.50%,9.90%,9.80%
24,24,25,Nabo Africa Money Market Fund,13.30%,13.10%,12.90%,11.90%,11.90%,11.90%,11.90%,12.20%
25,25,26,Ndovu Money Market Fund,15.50%,15.50%,15.50%,15.50%,15.50%,15.50%,15.50%,15.50%
26,26,27,Old Mutual Money Market Fund,13.00%,12.60%,12.10%,12.20%,12.60%,12.50%,12.40%,12.60%
27,27,28,Orient Kasha Money Market Fund,15.50%,14.20%,13.60%,13.60%,12.90%,13.90%,13.50%,13.40%
28,28,29,Sanlam Money Market Fund,14.10%,13.70%,13.50%,13.50%,12.90%,13.20%,12.70%,12.50%
29,29,30,Stanbic Money Market Fund,11.20%,11.10%,11.10%,10.00%,9.50%,9.30%,9.10%,9.20%
30,30,31,Ziidi Money Market Fund,12.40%,12.80%,12.90%,11.70%,10.50%,0.00%,9.70%,9.50%
